connectance_windsor,Pixel_Lat,Pixel_Long,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NDVI,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm
0.073412698,44.46250153,-74.28749847,832,53.26215363,1026.291748,230.4453278,15.71480083,0,0,48,0,9,0,44,0,271,983,5326,0.563235641,0.716835141,595,8.056371689,8,0,0,155.6419525,0,5523.945313,1,164.5196838,59.72383881,153.3577881,43.56097794
0.063213345,43.67083359,-74.6958313,840,62.24224854,1033.843628,236.4648285,9.694618225,0,0,41,0,12,0,47,0,1014,3180,2299,0.930311322,-0.225900158,572,0.812080145,-2.1875,0,0,86.49120331,0,5281.260742,10,199.8767395,58.45194626,157.8807678,44.80265045
0.084284462,44.21250153,-74.71250153,853,60.71340561,996.078186,238.0958099,13.04012012,0,0,42,0,10,0,40,0,900,1235,1653,-0.862179577,0.077652283,496,1.750005722,-1.9375,0,0,61.5219574,0,4925.321777,24,199.5755768,59.95283127,140.0294495,46.16046524
0.074626866,43.78749847,-74.91249847,840,62.30147171,998.5797729,237.2003326,11.48793316,0,0,41,0,11,0,42,0,757,1398,1596,0.531867504,0.690302968,548,3.156791925,-3.3125,0,0,134.4899597,0,5451.846191,7,194.8891296,57.96386719,160.7150726,43.66703033
0.065822785,43.62916565,-74.8125,842,61.32510376,1135.709351,235.1562958,6.781754971,0,0,51,0,12,0,38,0,746,2344,1905,-0.27752471,-0.019274473,598.5,2.158828735,-6.9375,0,0,115.3416901,0,5338.605957,1,190.7666626,57.83028412,161.5598297,42.61444473
0.061392405,43.65416718,-74.75416565,841,62.25378799,1154.594238,236.4149475,8.830804825,0,0,52,0,11,0,37,0,574,-1300,2617,0.053968567,-0.218645692,568,3.428558588,-8.25,0,0,135.0174255,0,5808.588379,3,196.0661926,57.07868958,163.3788757,42.10362244
0.033275961,44.26250076,-74.03749847,848,54.39187622,879.0194092,229.912796,13.98372364,0,0,50,0,16,0,34,0,1898,3616,1100,-0.686023533,-0.140480071,602,1.395728588,-3.0625,0,0,113.140976,0,5339.856445,12,195.8805695,64.15317535,132.5328217,46.01873779
0.057946071,43.6875,-74.66249847,842,60.97940445,1134.998657,235.1368866,10.35297012,0,0,41,0,12,0,47,0,758,4180,2826,-0.601342022,-0.440855175,595.5,1.323193789,-0.0625,0,0,160.1434631,0,6699.248047,12,193.0162201,57.77620316,145.3867493,43.77597046
0.067699369,43.62916565,-74.79582977,843,60.75488663,1098.472778,234.6601715,7.052645206,0,0,41,0,12,0,45,0,957,1165,1780,-0.458816975,0.175756052,609,1.57590127,2.875,0,0,133.3327942,0,5494.651855,5,192.5182343,59.54102707,150.4185181,43.438591
0.054503729,44.51250076,-74.12916565,824,56.20082474,964.2913208,233.6506348,19.22928238,0,0,41,0,12,0,47,0,1453,3456,1125,-0.490523398,0.511458457,525.5,0.781968236,-0.1875,0,0.001976887,154.3882599,0,5709.943359,14,199.5614166,58.57739258,181.1868134,44.00030518
0.054945055,44.28749847,-74.36250305,848,59.96001434,1010.432495,237.0321503,13.9191885,0,0,39,0,13,0,47,0,791,2724,1876,-0.102897801,-0.301697642,496.5,1.525555491,-2.375,0,0,157.8501282,0,5975.226563,14,199.565033,62.90180969,157.0700378,43.4633255
0.064767616,43.59583282,-74.66249847,826,55.13627625,1280.630127,228.0235596,7.645981789,0,0,0,0,20,0,80,0,860,3099,2159,0.298595905,-0.292527437,719.5,3.359073162,-3.6875,0,0,130.7536011,0,5232.293457,1,186.207077,56.07552338,172.2099304,41.06219482
0.092803031,43.96250153,-79.07917023,920,78.94449615,725.7701416,256.2930298,11.83710003,72,0,18,0,0,7,4,0,498,317,3723,-0.17446357,-0.975519896,186.5,1.187981844,-1.9375,0,0.653194308,112.6965332,0,5525.268066,1,200,41.95738602,40.76934052,63.20164108
